lon,lat,time,pre,stn,spi_1,spi_3,spi_6,spi_9,spi_12
-73.75,3.75,2008-12-16,332.9,5.0,-0.11791417086106216,0.5548965452569786,1.4310088196909494,2.8533237629709403,2.1579075372146397
-73.75,3.75,2009-01-16,157.1,6.0,-1.1756789552021483,-0.018549990054441752,0.5902139006249913,2.274638960614247,2.2122968133253935
-73.75,3.75,2009-02-15,193.1,6.0,-0.9080983633188991,-1.1271917341087998,-0.17076683827544212,1.1154868504717868,2.200997635462663
-73.75,3.75,2009-03-16,474.9,6.0,0.47635416745271264,-0.7374743380036419,-0.1811066771988352,0.8223173036205303,2.368644607645828
-73.75,3.75,2009-04-16,427.30002,6.0,0.2922797601563183,-0.10802072328234458,-0.2299987685646633,0.3590767802397804,2.0539073176197635
-73.75,3.75,2009-05-16,519.5,5.0,0.6381002234897484,0.5253896141909924,-0.44386025376194355,0.12381020673850408,1.2784030100383057
-73.75,3.75,2009-06-16,561.8,6.0,0.7833215755325558,0.6774353558109238,-0.06859033268343255,0.23082621695355285,1.1028834230014923
-73.75,3.75,2009-07-16,381.80002,6.0,0.10310919459277154,0.5985649332493114,0.27653090183928,0.1303686071019638,0.626471307116962
-73.75,3.75,2009-08-16,603.60004,5.0,0.9200135426681939,0.7431323820861915,0.8583758951876421,0.07073075864329506,0.5143122723299952
-73.75,3.75,2009-09-16,239.6,6.0,-0.6106287476771608,0.15700999632530444,0.5318874667520945,-0.056183874340790516,0.2208968568535879
-73.75,3.75,2009-10-16,565.60004,5.0,0.7960148918430358,0.5023027466182853,0.7259240878193903,0.48416909727720625,0.35338739514125206
-73.75,3.75,2009-11-16,310.2,6.0,-0.2280496546750877,-0.06561774405516921,0.42974773425329466,0.6322056997027706,-0.06670706542679952
-73.75,3.75,2009-12-16,223.8,6.0,-0.7067459486664047,-0.09890566820301096,-0.08302563618591896,0.31117344896185173,-0.20661652447514706
-73.75,3.75,2010-01-16,9.0,5.0,-3.8141628637748606,-1.5721068647381944,-0.7103256475296176,-0.2562228748666555,-0.40009342052856856
-73.75,3.75,2010-02-15,112.9,6.0,-1.5737073887137005,-2.367367962750457,-1.6755967768210769,-0.8543750998890796,-0.5066496435112979
-73.75,3.75,2010-03-16,237.6,6.0,-0.6225456080947751,-2.302211903246094,-1.6799606112147527,-1.3718892693913138,-0.8297355943656344
-73.75,3.75,2010-04-16,902.3,6.0,1.7549363860366267,0.2113475061283166,-0.9970573178718717,-0.5592115968670293,-0.1944764193823374
-73.75,3.75,2010-05-16,814.8,5.0,1.5312623873138205,1.3794728590576681,-0.12159981848572986,-0.2549538210493144,0.17886999888999003
-73.75,3.75,2010-06-16,849.10004,6.0,1.620653873193107,2.1910838440359366,0.7997434860794291,0.5579742551681789,0.5281668800354296
-73.75,3.75,2010-07-16,792.5,5.0,1.4718701489986492,2.0551453111031845,1.786675904738156,0.8396507067894067,1.0061615580562127
-73.75,3.75,2010-08-16,380.30002,4.0,0.0966220086022398,1.4759322586126236,2.0922620809517904,0.9246652323395577,0.7492271565992642
-73.75,3.75,2010-09-16,459.6,5.0,0.418573511791386,0.8844452987131304,2.336114589888517,1.2041581425951766,1.0024136535846668
-73.75,3.75,2010-10-16,524.8,6.0,0.6567081606585257,0.4223088523895263,1.9162222190353662,1.7841505210310658,0.9559551889908311
-73.75,3.75,2010-11-16,718.2,4.0,1.2660119347822998,0.9973140719938494,1.8045359726595476,2.4179137206554535,1.41095315721945
-73.75,3.75,2010-12-16,563.4,5.0,0.7886729491269652,1.1588085040527618,1.462876071010206,2.74114644101385,1.7745076715800643
-73.75,3.75,2011-01-16,124.0,5.0,-1.4642705308198405,0.49655431006041045,0.5839964943628758,1.948555303168153,1.894743741773003
-73.75,3.75,2011-02-15,294.80002,6.0,-0.3059380961132957,-0.3569652062636078,0.46187595283404903,1.375459241440548,2.0821226583318446
-73.75,3.75,2011-03-16,380.0,6.0,0.09532243294272957,-0.8059325999054011,0.34584813148098575,0.8218279370177074,2.226505773101061
-73.75,3.75,2011-04-16,1141.5,4.0,2.3047728302242527,1.1738947918269234,1.1910096029604675,1.237291520866417,2.4646919483889396
-73.75,3.75,2011-05-16,742.8,6.0,1.3356019575930982,1.8078056828953715,1.2224308432168272,1.6474734049411897,2.3935553796174998
-73.75,3.75,2011-06-16,705.0,7.0,1.2280455460317028,2.2192166536767988,1.4003479002009027,1.9141714627554411,2.2497412380118833
-73.75,3.75,2011-07-16,733.5,6.0,1.309467876427058,1.6968303945374608,2.115695992201923,2.134635242042029,2.190291756015704
-73.75,3.75,2011-08-16,486.2,6.0,0.5182465565357699,1.335724749217632,2.325742263091634,1.8892051821785416,2.296762444825404
-73.75,3.75,2011-09-16,540.5,7.0,0.7111207284814148,1.0876908352984118,2.4972109211347666,1.8645963264488683,2.377384899984747
-73.75,3.75,2011-10-16,560.9,6.0,0.7803072739651249,0.8107559904868478,1.8560978081077453,2.3224507240549213,2.4131654097487263
-73.75,3.75,2011-11-16,693.7,7.0,1.1951832077152083,1.1415234458831827,1.7990543134240575,2.7207534271463523,2.3888953005868023
-73.75,3.75,2011-12-16,485.9,8.0,0.5171426199426012,1.0569990392285775,1.5384137029006697,2.823620922036335,2.311757859934286
-73.75,3.75,2012-01-16,132.5,2.0,-1.385250257208044,0.32463123464615723,0.7641806406589765,1.7918602006773987,2.320245219072122
-73.75,3.75,2012-02-15,119.9,7.0,-1.5038172863533739,-0.9695546742066132,0.2391564030270705,1.0868145762437322,2.1442153005306035
