time,lon,lat,pre
1950-05-16,-73.75,4.75,175.90001
1950-06-16,-73.75,4.75,220.0
1950-07-16,-73.75,4.75,120.6
1950-08-16,-73.75,4.75,139.40001
1950-09-16,-73.75,4.75,95.4
1950-10-16,-73.75,4.75,107.3
1950-11-16,-73.75,4.75,86.0
1950-12-16,-73.75,4.75,65.4
1951-01-16,-73.75,4.75,33.4
1951-02-15,-73.75,4.75,90.0
1951-03-16,-73.75,4.75,58.8
1951-04-16,-73.75,4.75,129.2
1951-05-16,-73.75,4.75,116.200005
1951-06-16,-73.75,4.75,118.1
1951-07-16,-73.75,4.75,115.200005
1951-08-16,-73.75,4.75,87.0
1951-09-16,-73.75,4.75,48.100002
1951-10-16,-73.75,4.75,109.700005
1951-11-16,-73.75,4.75,103.4
1951-12-16,-73.75,4.75,46.9
1952-01-16,-73.75,4.75,29.6
1952-02-15,-73.75,4.75,16.6
1952-03-16,-73.75,4.75,47.2
1952-04-16,-73.75,4.75,155.90001
1952-05-16,-73.75,4.75,131.3
1952-06-16,-73.75,4.75,118.200005
1952-07-16,-73.75,4.75,169.0
1952-08-16,-73.75,4.75,75.200005
1952-09-16,-73.75,4.75,66.700005
1952-10-16,-73.75,4.75,52.100002
1952-11-16,-73.75,4.75,139.0
1952-12-16,-73.75,4.75,59.2
1953-01-16,-73.75,4.75,28.300001
1953-02-15,-73.75,4.75,32.9
1953-03-16,-73.75,4.75,65.200005
1953-04-16,-73.75,4.75,95.700005
1953-05-16,-73.75,4.75,164.3
1953-06-16,-73.75,4.75,171.3
1953-07-16,-73.75,4.75,88.6
1953-08-16,-73.75,4.75,22.2
1953-09-16,-73.75,4.75,133.2
1953-10-16,-73.75,4.75,141.7
1953-11-16,-73.75,4.75,111.5
1953-12-16,-73.75,4.75,50.600002
1954-01-16,-73.75,4.75,24.0
1954-02-15,-73.75,4.75,46.4
1954-03-16,-73.75,4.75,54.3
1954-04-16,-73.75,4.75,116.4
1954-05-16,-73.75,4.75,137.40001
1954-06-16,-73.75,4.75,158.3
1954-07-16,-73.75,4.75,166.2
1954-08-16,-73.75,4.75,80.200005
1954-09-16,-73.75,4.75,47.100002
1954-10-16,-73.75,4.75,152.90001
1954-11-16,-73.75,4.75,101.700005
1954-12-16,-73.75,4.75,65.4
1955-01-16,-73.75,4.75,26.6
1955-02-15,-73.75,4.75,54.2
